site,radius,side,skip,limit,mismatched_escape_pixels,distinct_escape_counts,unresolved_pixels,guarded_mismatches,fallback_pixels,max_endpoint_difference,direct_ms,cached_ms,with_setup_ms,cached_speedup,total_speedup,guarded_cached_ms,guarded_speedup
parabolic_cusp,1e-06,256,128,256,0,1,65536,0,0,1.665078021786657e-13,70.84616599999904,35.772041999999615,37.38837499999903,1.9804898473506154,1.8948714941476028,115.63720800000077,0.6126589116540981
deep_boundary,1e-10,256,128,256,0,1,65536,0,0,1.2437502301714783e-14,70.9685000000011,35.876583000000295,38.16237500000241,1.9781287420822802,1.8596457898649288,117.05920799999703,0.6062615766202938
escaping_seahorse,0.0001,256,16,64,0,1,0,0,0,2.208011787865247e-09,9.311124999999976,4.988292000000172,5.242792000000662,1.866595820773855,1.7759859632041095,15.723916999998977,0.5921631995386761
escaping_seahorse,0.002,256,8,256,116,228,1202,0,59747,7.318487543097954,53.32191600000158,51.4058329999969,51.32300000000001,1.0372736494709616,1.0389477622119043,139.1002919999984,0.3833343211098521
deep_boundary,1e-06,256,64,512,1868,257,54489,0,25106,7.613109306173292,150.81004099999973,137.85695800000042,135.55304100000143,1.093960313559213,1.1125537272158885,420.81816600000013,0.3583734096688204
