site,level,n,log10_radius,log10_inherited_error,log10_fresh_error,log10_periodic_error,log10_neighbor_signal,log10_differential_error,log10_differential_relative_to_signal,log10_inherited_relative_to_signal,log10_periodic_relative_to_signal
deep_boundary,46,56,-26.947577717104473,-19.95539826802694,-89.22184874961636,-84.77820451662174,-25.837019594269414,-40.38054381999098,-14.543524225721569,5.881621326242474,-58.94118492235233
deep_boundary,47,57,-27.424698971824135,-19.84426763767746,-88.7578500803266,-84.67158562627941,-26.21631320048879,-40.74653547554653,-14.530222275057739,6.37204556281133,-58.45527242579062
deep_boundary,48,58,-27.901820226543798,-19.70245021070231,-88.54309307380814,-84.5312675683729,-26.53650214075761,-41.081836803084464,-14.545334662326855,6.834051930055299,-57.99476542761529
deep_boundary,49,59,-28.37894148126346,-19.601838359600137,-88.43563885783078,-88.51905226316607,-26.91377225929683,-41.45834843607294,-14.544576176776108,7.311933899696694,-61.60528000386924
deep_boundary,50,60,-28.856062735983123,-19.374020078727554,-88.38605664769317,-88.32439182733033,-27.160003702219292,-41.7076489106515,-14.547645208432208,7.785983623491738,-61.16438812511104
deep_boundary,51,61,-29.333183990702786,-19.312791115627462,-88.75414410491462,-88.31572547180863,-27.56991156878947,-42.12354781614948,-14.553636247360014,8.257120453162006,-60.74581390301917
deep_boundary,52,62,-29.810305245422448,-19.002643981414433,-88.15239054054743,-87.8518209976293,-27.739695056291875,-42.29052270477245,-14.550827648480574,8.737051074877442,-60.112125941337425
deep_boundary,53,63,-30.28742650014211,-19.1250236549097,-88.0156418112666,-87.83761192059177,-28.340089020607472,-42.89004905948747,-14.549960038879995,9.215065365697772,-59.4975228999843
deep_boundary,54,64,-30.76454775486177,-18.94160207682149,-87.800951836725,-87.61184558273031,-28.632128746636376,-43.1837618993556,-14.551633152719226,9.690526669814886,-58.979716836093935
deep_boundary,55,65,-31.241669009581432,-19.038683897031337,-88.04135229952716,-87.56318859161986,-29.205745683331532,-43.75798091428253,-14.552235230950995,10.167061786300195,-58.357442908288334
deep_boundary,56,66,-31.718790264301095,-18.85148747730241,-87.76341715384322,-87.47785166219644,-29.495063329583623,-44.04792391045404,-14.552860580870416,10.643575852281213,-57.98278833261282
deep_boundary,57,67,-32.19591151902076,-18.923040377716998,-87.96852108295775,-87.69360807164013,-30.04231202371803,-44.59660280418778,-14.554290780469753,11.119271646001032,-57.6512960479221
deep_boundary,58,68,-32.673032773740424,-18.727356492786704,-87.8857741546428,-87.4762515866659,-30.32390477598439,-44.87806341671209,-14.5541586407277,11.596548283197684,-57.15234681068151
deep_boundary,59,69,-33.150154028460086,-18.773571379064887,-87.85489362654023,-87.3796405302965,-30.84561017384957,-45.40138865643153,-14.55577848258196,12.072038794784682,-56.534030356446934
deep_boundary,60,70,-33.62727528317975,-18.562907487087177,-87.56540468206133,-87.2088660219541,-31.112624619174767,-45.667873116435565,-14.555248497260799,12.54971713208759,-56.09624140277933
escaping_seahorse,1,11,-5.477121254719663,-19.084614691560606,-19.45952758895773,-19.084614691560606,-5.135220011212935,-19.084475217338966,-13.94925520612603,-13.949394680347671,-13.949394680347671
escaping_seahorse,2,12,-5.954242509439325,-19.84826198323371,-21.100143230920615,-19.84826198323371,-5.64106981662961,-19.89561768764876,-14.254547871019149,-14.207192166604099,-14.207192166604099
escaping_seahorse,3,13,-6.431363764158987,-20.31047143039605,-22.824073607491243,-20.31047143039605,-6.0173980444775,-20.600066978483632,-14.582668934006133,-14.29307338591855,-14.29307338591855
escaping_seahorse,4,14,-6.9084850188786495,-20.31314004770685,-24.480732889594012,-20.31314004770685,-6.497270966488467,-20.99124737803215,-14.49397641154368,-13.81586908121838,-13.81586908121838
